snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,product_name,category,segment,year,month
2022-10-31,1,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,10
2022-11-30,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,11
2022-12-31,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,12
2016-04-30,3,35,13,11,2,95.5,0.9333,1,1,0,0.2391,DragonWear MA-03,Casual,All-weather,2016,4
2016-05-31,3,36,11,10,1,108.0,0.9667,1,1,0,0.2174,DragonWear MA-03,Casual,All-weather,2016,5
2016-06-30,3,37,8,7,2,158.6,0.9333,1,1,0,0.1591,DragonWear MA-03,Casual,All-weather,2016,6
2016-07-31,3,39,11,9,2,130.0,0.9333,1,1,0,0.1875,DragonWear MA-03,Casual,All-weather,2016,7
2016-08-31,3,39,4,4,0,292.5,1.0,0,1,0,0.093,DragonWear MA-03,Casual,All-weather,2016,8
2016-09-30,3,40,7,6,0,200.0,1.0,0,1,0,0.1304,DragonWear MA-03,Casual,All-weather,2016,9
2016-10-31,3,41,7,6,1,205.0,0.9667,1,1,0,0.1277,DragonWear MA-03,Casual,All-weather,2016,10
2016-11-30,3,44,15,12,0,110.0,1.0,0,1,0,0.2143,DragonWear MA-03,Casual,All-weather,2016,11
2016-12-31,3,45,12,11,2,122.7,0.9333,1,1,0,0.1964,DragonWear MA-03,Casual,All-weather,2016,12
2017-01-31,3,46,13,12,0,115.0,1.0,0,1,0,0.2069,DragonWear MA-03,Casual,All-weather,2017,1
2017-02-28,3,50,18,14,2,107.1,0.9333,1,1,0,0.2188,DragonWear MA-03,Casual,All-weather,2017,2
2017-03-31,3,52,12,10,1,156.0,0.9667,1,1,0,0.1613,DragonWear MA-03,Casual,All-weather,2017,3
2017-04-30,3,53,9,8,2,198.8,0.9333,1,1,0,0.1311,DragonWear MA-03,Casual,All-weather,2017,4
2017-05-31,3,54,10,9,0,180.0,1.0,0,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2017,5
2017-06-30,3,56,15,13,2,129.2,0.9333,1,1,0,0.1884,DragonWear MA-03,Casual,All-weather,2017,6
2017-07-31,3,57,8,7,1,244.3,0.9667,1,1,0,0.1094,DragonWear MA-03,Casual,All-weather,2017,7
2017-08-31,3,59,11,9,0,196.7,1.0,0,1,0,0.1324,DragonWear MA-03,Casual,All-weather,2017,8
2017-09-30,3,59,3,3,2,590.0,0.9333,1,1,0,0.0484,DragonWear MA-03,Casual,All-weather,2017,9
2017-10-31,3,60,11,10,1,180.0,0.9667,1,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2017,10
2017-11-30,3,61,7,6,2,305.0,0.9333,1,1,0,0.0896,DragonWear MA-03,Casual,All-weather,2017,11
2017-12-31,3,63,17,15,2,126.0,0.9333,1,1,0,0.1923,DragonWear MA-03,Casual,All-weather,2017,12
2018-01-31,3,64,7,6,0,320.0,1.0,0,1,0,0.0857,DragonWear MA-03,Casual,All-weather,2018,1
2018-02-28,3,65,8,7,2,278.6,0.9333,1,1,0,0.0972,DragonWear MA-03,Casual,All-weather,2018,2
2018-03-31,3,67,11,9,0,223.3,1.0,0,1,0,0.1184,DragonWear MA-03,Casual,All-weather,2018,3
2018-04-30,3,69,13,11,0,188.2,1.0,0,1,0,0.1375,DragonWear MA-03,Casual,All-weather,2018,4
2018-05-31,3,72,20,17,2,127.1,0.9333,1,1,0,0.191,DragonWear MA-03,Casual,All-weather,2018,5
2018-06-30,3,75,19,16,1,140.6,0.9667,1,1,0,0.1758,DragonWear MA-03,Casual,All-weather,2018,6
2018-07-31,3,78,19,16,2,146.2,0.9333,1,1,0,0.1702,DragonWear MA-03,Casual,All-weather,2018,7
2018-08-31,3,81,21,18,1,135.0,0.9667,1,1,0,0.1818,DragonWear MA-03,Casual,All-weather,2018,8
2018-09-30,3,82,15,14,0,175.7,1.0,0,1,0,0.1458,DragonWear MA-03,Casual,All-weather,2018,9
2018-10-31,3,82,8,8,1,307.5,0.9667,1,1,0,0.0889,DragonWear MA-03,Casual,All-weather,2018,10
2018-11-30,3,83,8,7,2,355.7,0.9333,1,1,0,0.0778,DragonWear MA-03,Casual,All-weather,2018,11
2018-12-31,3,84,5,4,2,630.0,0.9333,1,1,0,0.0455,DragonWear MA-03,Casual,All-weather,2018,12
2019-01-31,3,85,6,5,2,510.0,0.9333,1,1,0,0.0556,DragonWear MA-03,Casual,All-weather,2019,1
2019-02-28,3,86,7,6,0,430.0,1.0,0,1,0,0.0652,DragonWear MA-03,Casual,All-weather,2019,2
2019-03-31,3,88,11,9,2,293.3,0.9333,1,1,0,0.0928,DragonWear MA-03,Casual,All-weather,2019,3
2019-04-30,3,91,17,14,2,195.0,0.9333,1,1,0,0.1333,DragonWear MA-03,Casual,All-weather,2019,4
2019-05-31,3,93,11,9,0,310.0,1.0,0,1,0,0.0882,DragonWear MA-03,Casual,All-weather,2019,5
2019-06-30,3,94,12,11,0,256.4,1.0,0,1,0,0.1048,DragonWear MA-03,Casual,All-weather,2019,6
2019-07-31,3,96,15,13,1,221.5,0.9667,1,1,0,0.1193,DragonWear MA-03,Casual,All-weather,2019,7
2019-08-31,3,98,11,9,0,326.7,1.0,0,1,0,0.0841,DragonWear MA-03,Casual,All-weather,2019,8
2019-09-30,3,98,4,4,0,735.0,1.0,0,1,0,0.0392,DragonWear MA-03,Casual,All-weather,2019,9
2019-10-31,3,99,10,9,1,330.0,0.9667,1,1,0,0.0833,DragonWear MA-03,Casual,All-weather,2019,10
2019-11-30,3,99,4,4,1,742.5,0.9667,1,1,0,0.0388,DragonWear MA-03,Casual,All-weather,2019,11
2019-12-31,3,101,13,11,1,275.5,0.9667,1,1,0,0.0982,DragonWear MA-03,Casual,All-weather,2019,12
2020-01-31,3,101,2,2,2,1515.0,0.9333,1,1,0,0.0194,DragonWear MA-03,Casual,All-weather,2020,1
2020-02-29,3,102,9,8,1,382.5,0.9667,1,1,0,0.0727,DragonWear MA-03,Casual,All-weather,2020,2
2020-03-31,3,105,15,12,1,262.5,0.9667,1,1,0,0.1026,DragonWear MA-03,Casual,All-weather,2020,3
2020-04-30,3,108,21,18,1,180.0,0.9667,1,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2020,4
2020-05-31,3,110,13,11,2,300.0,0.9333,1,1,0,0.0909,DragonWear MA-03,Casual,All-weather,2020,5
2020-06-30,3,112,16,14,0,240.0,1.0,0,1,0,0.1111,DragonWear MA-03,Casual,All-weather,2020,6
2020-07-31,3,113,8,7,2,484.3,0.9333,1,1,0,0.0583,DragonWear MA-03,Casual,All-weather,2020,7
2020-08-31,3,114,9,8,2,427.5,0.9333,1,1,0,0.0656,DragonWear MA-03,Casual,All-weather,2020,8
2020-09-30,3,114,6,6,0,570.0,1.0,0,1,0,0.05,DragonWear MA-03,Casual,All-weather,2020,9
2020-10-31,3,114,4,4,1,855.0,0.9667,1,1,0,0.0339,DragonWear MA-03,Casual,All-weather,2020,10
