order_id,ship_date,delivery_date,shipping_fee
1,2012-07-07,2012-07-11,1.37
2,2012-07-06,2012-07-10,2.6
3,2012-07-04,2012-07-07,2.38
4,2012-07-05,2012-07-11,2.49
6,2012-07-09,2012-07-16,25.79
7,2012-07-06,2012-07-12,1.31
8,2012-07-06,2012-07-11,0.43
9,2012-07-07,2012-07-13,0.18
10,2012-07-07,2012-07-13,0.86
13,2012-07-09,2012-07-12,2.44
15,2012-07-07,2012-07-10,0.4
16,2012-07-07,2012-07-12,1.91
17,2012-07-08,2012-07-11,1.54
18,2012-07-06,2012-07-11,2.33
20,2012-07-07,2012-07-14,2.23
21,2012-07-04,2012-07-07,1.04
23,2012-07-09,2012-07-12,0.18
24,2012-07-08,2012-07-11,0.03
25,2012-07-06,2012-07-13,1.23
28,2012-07-07,2012-07-11,0.47
29,2012-07-08,2012-07-14,23.04
30,2012-07-07,2012-07-11,31.59
32,2012-07-06,2012-07-12,1.1
33,2012-07-05,2012-07-08,0.28
34,2012-07-07,2012-07-11,1.45
35,2012-07-06,2012-07-12,0.16
36,2012-07-06,2012-07-09,25.47
38,2012-07-06,2012-07-09,31.33
39,2012-07-07,2012-07-09,2.36
41,2012-07-05,2012-07-10,1.86
43,2012-07-05,2012-07-08,1.52
44,2012-07-08,2012-07-12,2.68
45,2012-07-05,2012-07-12,1.25
47,2012-07-06,2012-07-08,1.45
48,2012-07-04,2012-07-06,0.67
49,2012-07-04,2012-07-07,0.7
50,2012-07-05,2012-07-07,2.13
52,2012-07-07,2012-07-11,0.82
53,2012-07-07,2012-07-12,2.04
56,2012-07-06,2012-07-12,1.07
59,2012-07-06,2012-07-09,1.1
60,2012-07-05,2012-07-09,2.11
62,2012-07-06,2012-07-13,25.42
63,2012-07-07,2012-07-09,1.06
66,2012-07-04,2012-07-06,0.88
67,2012-07-06,2012-07-13,0.44
68,2012-07-06,2012-07-13,2.04
70,2012-07-06,2012-07-08,2.18
72,2012-07-07,2012-07-09,2.07
74,2012-07-04,2012-07-08,1.02
75,2012-07-07,2012-07-13,1.47
76,2012-07-07,2012-07-13,0.23
78,2012-07-04,2012-07-10,0.98
79,2012-07-07,2012-07-09,1.73
80,2012-07-06,2012-07-10,2.54
81,2012-07-05,2012-07-12,1.17
82,2012-07-04,2012-07-11,1.08
83,2012-07-06,2012-07-08,1.35
84,2012-07-05,2012-07-11,2.47
85,2012-07-05,2012-07-09,0.57
86,2012-07-08,2012-07-12,2.47
87,2012-07-05,2012-07-09,29.81
88,2012-07-07,2012-07-09,29.96
89,2012-07-06,2012-07-12,0.89
90,2012-07-06,2012-07-11,1.49
91,2012-07-07,2012-07-09,1.84
92,2012-07-04,2012-07-10,1.1
93,2012-07-06,2012-07-08,1.47
95,2012-07-06,2012-07-13,1.73
96,2012-07-06,2012-07-10,1.06
100,2012-07-05,2012-07-11,0.54
101,2012-07-07,2012-07-14,2.73
102,2012-07-06,2012-07-10,2.54
104,2012-07-05,2012-07-12,0.47
106,2012-07-06,2012-07-11,2.46
107,2012-07-07,2012-07-13,1.03
108,2012-07-06,2012-07-09,0.42
110,2012-07-09,2012-07-12,1.25
116,2012-07-07,2012-07-14,0.45
117,2012-07-04,2012-07-08,1.46
118,2012-07-05,2012-07-11,1.05
120,2012-07-05,2012-07-07,2.44
121,2012-07-06,2012-07-08,0.69
122,2012-07-07,2012-07-09,1.74
124,2012-07-07,2012-07-11,0.34
125,2012-07-05,2012-07-07,1.75
126,2012-07-06,2012-07-13,1.01
128,2012-07-07,2012-07-09,0.19
132,2012-07-06,2012-07-09,1.88
133,2012-07-06,2012-07-08,1.17
135,2012-07-06,2012-07-08,2.53
136,2012-07-04,2012-07-08,1.27
140,2012-07-08,2012-07-15,1.61
144,2012-07-06,2012-07-09,0.34
145,2012-07-09,2012-07-13,2.3
146,2012-07-06,2012-07-13,0.75
147,2012-07-07,2012-07-09,0.98
149,2012-07-08,2012-07-15,0.01
152,2012-07-04,2012-07-09,31.7
153,2012-07-05,2012-07-10,0.35
154,2012-07-08,2012-07-14,2.22
156,2012-07-06,2012-07-13,2.52
157,2012-07-07,2012-07-13,0.39
158,2012-07-06,2012-07-08,0.44
159,2012-07-05,2012-07-09,2.27
160,2012-07-06,2012-07-08,2.05
163,2012-07-04,2012-07-11,24.7
