iter	RMSE
0	2226642.635
1	2157951.196
2	2093057.925
3	2029819.205
4	1970674.686
5	1913288.902
6	1861271.123
7	1811222.67
8	1764852.634
9	1724621.791
10	1684331.539
11	1645971.79
12	1608652.706
13	1573500.966
14	1541015.893
15	1511422.971
16	1482378.75
17	1455905.215
18	1431559.054
19	1406939.708
20	1385493.484
21	1366484.015
22	1348144.537
23	1328013.856
24	1311982.819
25	1295468.951
26	1279464.072
27	1265354.54
28	1250041.444
29	1237238.037
30	1224755.316
31	1213244.262
32	1201625.014
33	1191112.31
34	1179688.63
35	1170809.814
36	1160850.539
37	1150922.393
38	1143337.483
39	1134105.642
40	1126062.904
41	1117389.083
42	1109178.423
43	1102245.834
44	1097015.837
45	1090901.429
46	1085610.226
47	1079507.45
48	1073631.664
49	1066994.431
50	1062875.733
51	1057889.288
52	1052896.848
53	1048614.196
54	1043708.442
55	1038543.987
56	1034087.794
57	1029665.97
58	1025499.368
59	1020438.509
60	1016648.667
61	1012494.701
62	1009221.66
63	1005344.932
64	1001192.707
65	997041.6458
66	994132.5308
67	991214.3682
68	988833.5845
69	986392.1432
70	983482.7251
71	979909.2257
72	976845.2359
73	972826.9325
74	969912.8956
75	966803.3174
76	964168.1966
77	961954.7147
78	958572.8602
79	955569.7166
80	953352.5764
81	950586.2048
82	948099.686
83	945954.2024
84	942929.2653
85	940318.3895
86	937699.793
87	935797.1584
88	933603.2053
89	931952.5664
90	929398.5402
91	928133.8061
92	925778.3783
93	923969.6858
94	921357.1174
95	919309.1558
96	917460.3941
97	914863.9877
98	913539.7148
99	911859.0075
100	910073.4362
101	908741.3779
102	907242.7692
103	905359.0724
104	903763.8945
105	901804.7515
106	899826.935
107	898387.9525
108	895814.1266
109	893539.2979
110	892217.4549
111	890612.7938
112	888751.9102
113	886886.5626
114	884322.8944
115	882903.3316
116	881486.113
117	880007.7013
118	878471.9667
119	877517.2502
120	875291.0315
121	874072.9169
122	872386.2934
123	870410.6212
124	869477.7011
125	867526.2878
126	866550.5076
127	864993.1614
128	864013.6824
129	862996.1102
130	861317.0174
131	859268.9209
132	857912.424
133	856361.7738
134	854547.1329
135	853354.9665
136	851706.3055
137	850611.0167
138	849835.0694
139	848514.0139
140	846672.8498
141	845153.608
142	844017.3867
143	842938.0838
144	841451.9034
145	839524.3793
146	838228.1699
147	837180.2229
148	836173.7207
149	835118.6344
150	833765.5057
151	832574.4287
152	831243.44
153	829889.9991
154	828762.9467
155	827796.0446
156	826785.8178
157	825623.7128
158	824643.0534
159	823254.7069
160	822035.3171
161	820772.2404
162	818734.971
163	817450.2325
164	816750.4768
165	815383.3325
166	814227.329
167	812483.3505
168	811149.0893
169	810492.8016
170	809728.0897
171	808832.8665
172	807455.2196
173	806024.2864
174	804592.5872
175	802766.0892
176	801707.4173
177	801041.7656
178	799916.4785
179	798883.1795
180	797433.0389
181	796758.1014
182	795981.0288
183	794920.4305
184	794102.2318
185	792305.8039
186	791133.508
187	790241.6218
188	789023.5118
189	787631.9192
190	786257.6144
191	785215.1864
192	784228.0694
193	783598.9821
194	782857.9053
195	781187.6617
196	780140.1643
197	778480.2657
198	776932.9576
199	775473.4709
200	774444.5575
201	773373.9984
202	772307.1286
203	771363.5829
204	770466.5891
205	769372.6281
206	767918.3241
207	766354.5172
208	765275.8226
209	763913.0819
210	762595.1589
211	762136.4997
212	761374.7351
213	760173.3557
214	758791.1516
215	757888.7826
216	756868.5105
217	756234.9182
218	755078.9536
219	754330.0255
220	753327.2726
221	752500.9041
222	751504.7114
223	750562.7492
224	749662.5956
225	749078.3985
226	748328.0615
227	747543.8189
228	746346.0233
229	745104.4445
230	743986.6069
231	743274.8255
232	741657.8224
233	740568.8977
234	739710.2687
235	738905.1169
236	738438.8349
237	737549.5088
238	736643.4884
239	735920.0548
240	734844.5927
241	733982.5259
242	732778.6008
243	731973.0752
244	730891.8426
245	729951.7027
246	729167.4019
247	728215.1828
248	726359.2996
249	725244.9269
250	724652.349
251	723736.0783
252	722891.7647
253	722008.8245
254	721409.0238
255	720643.8249
256	719626.6056
257	718404.0622
258	717435.8082
259	716061.2931
260	715366.1444
261	714657.404
262	714282.4749
263	713608.357
264	712798.3665
265	711895.9999
266	710578.1452
267	709860.563
268	708956.0014
269	708139.5722
270	707408.5475
271	706340.4315
272	705772.7902
273	705389.4864
274	703890.1226
275	703482.9276
276	702723.068
277	702028.8861
278	701051.4972
279	700401.5667
280	699547.0622
281	698593.0128
282	697806.7309
283	697055.0062
284	695998.4135
285	695149.039
286	694625.6982
287	693715.3865
288	693047.6315
289	692370.5013
290	691629.7684
291	691313.2349
292	690660.4243
293	689831.7416
294	689535.4243
295	688815.8309
296	688469.6792
297	687622.1281
298	687315.2748
299	686404.6272
