iter	Passed	Remaining
0	3	947
1	5	789
2	7	722
3	9	684
4	11	671
5	13	649
6	15	637
7	17	625
8	19	628
9	21	620
10	23	613
11	25	602
12	26	594
13	28	585
14	30	582
15	32	577
16	34	576
17	36	577
18	39	579
19	41	578
20	43	574
21	45	570
22	47	567
23	49	564
24	51	562
25	53	559
26	55	559
27	57	555
28	59	554
29	61	550
30	63	547
31	64	543
32	66	540
33	68	536
34	70	533
35	72	531
36	74	530
37	76	527
38	78	524
39	80	524
40	82	521
41	84	519
42	86	516
43	88	515
44	90	513
45	92	511
46	94	510
47	96	509
48	98	506
49	100	503
50	102	500
51	104	496
52	105	493
53	108	492
54	109	489
55	111	487
56	114	486
57	116	484
58	118	482
59	120	481
60	122	479
61	124	477
62	126	476
63	128	474
64	130	472
65	132	471
66	135	470
67	137	468
68	139	466
69	140	463
70	142	460
71	144	458
72	146	455
73	148	452
74	150	450
75	151	447
76	153	445
77	155	443
78	157	440
79	159	439
80	161	437
81	163	435
82	165	432
83	167	431
84	169	429
85	171	427
86	173	424
87	175	422
88	177	419
89	179	417
90	181	415
91	182	413
92	185	411
93	187	410
94	189	408
95	191	406
96	193	404
97	195	402
98	197	400
99	199	398
100	200	396
101	202	393
102	204	391
103	206	389
104	208	387
105	210	384
106	212	382
107	214	380
108	216	378
109	218	376
110	220	374
111	221	372
112	223	370
113	225	368
114	227	366
115	229	364
116	232	363
117	234	361
118	236	359
119	238	357
120	240	355
121	242	353
122	244	351
123	246	349
124	248	347
125	249	345
126	251	343
127	253	341
128	255	338
129	257	336
130	259	334
131	261	332
132	263	331
133	265	329
134	268	327
135	270	325
136	272	324
137	274	322
138	276	320
139	278	318
140	280	316
141	282	314
142	284	312
143	286	310
144	288	308
145	290	306
146	292	304
147	294	302
148	296	300
149	298	298
150	300	296
151	302	294
152	303	291
153	305	289
154	307	287
155	309	285
156	311	283
157	313	281
158	315	279
159	317	277
160	319	275
161	321	273
162	322	271
163	325	269
164	327	267
165	329	265
166	331	264
167	333	262
168	335	260
169	337	258
170	339	256
171	341	254
172	343	251
173	344	249
174	346	247
175	348	245
176	351	243
177	353	242
178	355	240
179	357	238
180	359	236
181	361	234
182	364	232
183	366	231
184	368	229
185	370	227
186	372	225
187	374	223
188	377	221
189	378	219
190	380	217
191	382	215
192	385	213
193	386	211
194	388	209
195	391	207
196	393	205
197	395	203
198	398	202
199	400	200
200	402	198
201	404	196
202	406	194
203	408	192
204	410	190
205	412	188
206	414	186
207	416	184
208	418	182
209	419	179
210	421	177
211	423	175
212	426	174
213	428	172
214	430	170
215	432	168
216	434	166
217	435	163
218	437	161
219	439	159
220	441	157
221	443	155
222	445	153
223	447	151
224	448	149
225	450	147
226	452	145
227	454	143
228	456	141
229	458	139
230	460	137
231	462	135
232	464	133
233	466	131
234	468	129
235	470	127
236	472	125
237	474	123
238	476	121
239	478	119
240	480	117
241	481	115
242	483	113
243	485	111
244	487	109
245	489	107
246	491	105
247	493	103
248	495	101
249	497	99
250	499	97
251	501	95
252	504	93
253	506	91
254	509	89
255	511	87
256	513	85
257	515	83
258	517	81
259	519	79
260	522	78
261	524	76
262	526	74
263	528	72
264	531	70
265	533	68
266	536	66
267	538	64
268	540	62
269	542	60
270	545	58
271	547	56
272	548	54
273	550	52
274	552	50
275	554	48
276	556	46
277	558	44
278	560	42
279	562	40
280	564	38
281	566	36
282	568	34
283	570	32
284	572	30
285	574	28
286	576	26
287	578	24
288	580	22
289	582	20
290	584	18
291	586	16
292	588	14
293	590	12
294	592	10
295	594	8
296	595	6
297	597	4
298	599	2
299	601	0
