customer_id,customer_segment,cluster_id,recency,frequency,monetary,discount_rate,promo_order_rate,zip,city,signup_date,gender,age_group,acquisition_channel
1,Hibernating / Low Engagement,3,1042,4,98782.44,0.0,0.0,15201,Hai Phong,2021-12-30,Female,35-44,social_media
2,Loyal Customers,2,179,2,126255.29000000001,0.13987616370730607,1.0,15201,Hai Phong,2013-12-27,Female,45-54,email_campaign
3,Bargain Hunters,1,3690,2,12001.55,0.0,0.0,15201,Hai Phong,2018-07-24,Female,18-24,organic_search
4,Bargain Hunters,1,917,1,10939.06,0.18000017990572942,1.0,15201,Hai Phong,2017-11-29,Male,35-44,referral
5,Hibernating / Low Engagement,3,1376,5,64179.85999999999,0.07087160193493075,0.4,15201,Hai Phong,2022-09-23,Male,55+,organic_search
6,At Risk / Churn,0,560,9,71555.0,0.07427232604036822,0.5555555555555556,15202,Phu Ly,2022-04-14,Female,25-34,organic_search
8,At Risk / Churn,0,2191,6,158356.41,0.04088295763127364,0.5,15202,Phu Ly,2015-09-11,Male,45-54,social_media
9,Bargain Hunters,1,1306,1,15926.52,0.0,0.0,15202,Phu Ly,2020-02-14,Male,35-44,email_campaign
10,Champions,4,240,10,256542.98,0.03248696348463268,0.2,15202,Phu Ly,2014-03-03,Male,25-34,organic_search
11,Hibernating / Low Engagement,3,2057,2,162936.03,0.0,0.0,15203,Viet Tri,2017-11-07,Male,35-44,organic_search
12,Bargain Hunters,1,624,1,13636.55,0.0,0.0,15203,Viet Tri,2020-11-20,Female,45-54,organic_search
13,Hibernating / Low Engagement,3,1668,4,81178.11,0.022832640364548,0.25,15203,Viet Tri,2014-01-17,Female,25-34,direct
14,Hibernating / Low Engagement,3,1725,3,53410.619999999995,0.058210585618349596,0.3333333333333333,15203,Viet Tri,2017-07-31,Female,45-54,social_media
15,Bargain Hunters,1,3566,1,24387.3,0.11999997113251475,1.0,15203,Viet Tri,2022-01-29,Male,35-44,direct
16,Hibernating / Low Engagement,3,1978,3,32125.47,0.03432608670166989,1.0,15204,Bac Giang,2021-03-25,Female,45-54,referral
17,Bargain Hunters,1,1830,1,11965.31,0.2000001337198729,1.0,15204,Bac Giang,2017-11-15,Male,25-34,social_media
18,Hibernating / Low Engagement,3,1602,3,79994.23999999999,0.05946822737205671,0.3333333333333333,15204,Bac Giang,2021-08-06,Male,45-54,referral
20,Loyal Customers,2,287,4,84226.98000000001,0.008579280718076591,0.5,15204,Bac Giang,2013-01-07,Male,45-54,paid_search
